"","status","duration","credit_history","purpose","amount","savings","employment_duration","installment_rate","personal_status_sex","other_debtors","present_residence","property","age","other_installment_plans","housing","number_credits","job","people_liable","telephone","foreign_worker","credit_risk"
"1","... < 0 DM",6,"critical account/other credits existing","domestic appliances",1169,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"real estate",67,"none","own",2,"skilled employee/official",1,"yes","yes","good"
"2","0 <= ... < 200 DM",48,"existing credits paid back duly till now","domestic appliances",5951,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",2,"real estate",22,"none","own",1,"skilled employee/official",1,"no","yes","bad"
"3","no checking account",12,"critical account/other credits existing","retraining",2096,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",3,"real estate",49,"none","own",1,"unskilled - resident",2,"no","yes","good"
"4","... < 0 DM",42,"existing credits paid back duly till now","radio/television",7882,"... < 100 DM","4 <= ... < 7 years",2,"male : single","guarantor",4,"building society savings agreement/life insurance",45,"none","for free",1,"skilled employee/official",2,"no","yes","good"
"5","... < 0 DM",24,"delay in paying off in the past","car (new)",4870,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",4,"unknown/no property",53,"none","for free",2,"skilled employee/official",2,"no","yes","bad"
"6","no checking account",36,"existing credits paid back duly till now","retraining",9055,"unknown/no savings account","1 <= ... < 4 years",2,"male : single","none",4,"unknown/no property",35,"none","for free",1,"unskilled - resident",2,"yes","yes","good"
"7","no checking account",24,"existing credits paid back duly till now","radio/television",2835,"500 <= ... < 1000 DM","... >= 7 years",3,"male : single","none",4,"building society savings agreement/life insurance",53,"none","own",1,"skilled employee/official",1,"no","yes","good"
"8","0 <= ... < 200 DM",36,"existing credits paid back duly till now","car (used)",6948,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other",35,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","good"
"9","no checking account",12,"existing credits paid back duly till now","domestic appliances",3059,"... >= 1000 DM","4 <= ... < 7 years",2,"male : divorced/separated","none",4,"real estate",61,"none","own",1,"unskilled - resident",1,"no","yes","good"
"10","0 <= ... < 200 DM",30,"critical account/other credits existing","car (new)",5234,"... < 100 DM","unemployed",4,"male : married/widowed","none",2,"car or other",28,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"no","yes","bad"
