,GDP,Year
1,5.433e+11,1960
2,5.633e+11,1961
3,6.051e+11,1962
4,6.386e+11,1963
5,6.858e+11,1964
6,7.437e+11,1965
7,8.15e+11,1966
8,8.617e+11,1967
9,9.425e+11,1968
10,1.0199e+12,1969
11,1.075884e+12,1970
12,1.16777e+12,1971
13,1.282449e+12,1972
14,1.428549e+12,1973
15,1.548825e+12,1974
16,1.688923e+12,1975
17,1.877587e+12,1976
18,2.085951e+12,1977
19,2.356571e+12,1978
20,2.632143e+12,1979
21,2.862505e+12,1980
22,3.210956e+12,1981
23,3.344991e+12,1982
24,3.638137e+12,1983
25,4.040693e+12,1984
26,4.346734e+12,1985
27,4.590155e+12,1986
28,4.870217e+12,1987
29,5.252629e+12,1988
30,5.657693e+12,1989
31,5.979589e+12,1990
32,6.174043e+12,1991
33,6.539299e+12,1992
34,6.878718e+12,1993
35,7.308755e+12,1994
36,7.66406e+12,1995
37,8.100201e+12,1996
38,8.608515e+12,1997
39,9.089168e+12,1998
40,9.660624e+12,1999
41,1.0284779e+13,2000
42,1.0621824e+13,2001
43,1.0977514e+13,2002
44,1.151067e+13,2003
45,1.2274928e+13,2004
46,1.3093726e+13,2005
47,1.3855888e+13,2006
48,1.4477635e+13,2007
49,1.4718582e+13,2008
50,1.4418739e+13,2009
51,1.4964372e+13,2010
52,1.5517926e+13,2011
53,1.6155255e+13,2012
54,1.6691517e+13,2013
55,1.7427609e+13,2014
56,1.8120714e+13,2015
57,1.8624475e+13,2016
58,1.9390604e+13,2017
