,Count,Month
1,109200,1976 lip
2,94700,1976 sie
3,95500,1976 wrz
4,94800,1976 paź
5,94100,1976 lis
6,98300,1976 gru
7,93500,1977 sty
8,102000,1977 lut
9,102600,1977 mar
10,91500,1977 kwi
11,91200,1977 maj
12,111400,1977 cze
13,112200,1977 lip
14,110600,1977 sie
15,113000,1977 wrz
16,112800,1977 paź
17,128500,1977 lis
18,116300,1977 gru
19,116500,1978 sty
20,117200,1978 lut
21,113400,1978 mar
22,112800,1978 kwi
23,120500,1978 maj
24,109300,1978 cze
25,96100,1978 lip
26,97100,1978 sie
27,87100,1978 wrz
28,105900,1978 paź
29,108500,1978 lis
30,89600,1978 gru
31,95000,1979 sty
32,110400,1979 lut
33,98200,1979 mar
34,68000,1979 kwi
35,71100,1979 maj
36,54700,1979 cze
37,54500,1979 lip
38,61900,1979 sie
39,57100,1979 wrz
40,71000,1979 paź
41,70200,1979 lis
42,70100,1979 gru
43,80000,1980 sty
44,66400,1980 lut
45,44100,1980 mar
46,64100,1980 kwi
47,63200,1980 maj
48,57900,1980 cze
49,69600,1980 lip
50,56600,1980 sie
51,60300,1980 wrz
52,72000,1980 paź
53,66500,1980 lis
54,79700,1980 gru
55,79100,1981 sty
56,80200,1981 lut
57,79400,1981 mar
58,69500,1981 kwi
59,66300,1981 maj
60,63300,1981 cze
61,67000,1981 lip
62,53500,1981 sie
63,56700,1981 wrz
64,67000,1981 paź
65,61700,1981 lis
66,79400,1981 gru
67,87600,1982 sty
68,91000,1982 lut
69,92100,1982 mar
70,78300,1982 kwi
71,68300,1982 maj
72,71800,1982 cze
73,77000,1982 lip
74,62300,1982 sie
75,93100,1982 wrz
76,73000,1982 paź
77,72200,1982 lis
78,83700,1982 gru
79,83200,1983 sty
80,78900,1983 lut
81,70400,1983 mar
82,57200,1983 kwi
83,42800,1983 maj
84,46600,1983 cze
85,50400,1983 lip
86,55300,1983 sie
87,53400,1983 wrz
88,56400,1983 paź
89,60900,1983 lis
90,57900,1983 gru
91,64300,1984 sty
92,66000,1984 lut
93,59000,1984 mar
94,49900,1984 kwi
95,54200,1984 maj
96,49800,1984 cze
97,56300,1984 lip
98,53000,1984 sie
99,46600,1984 wrz
100,54300,1984 paź
101,53600,1984 lis
102,53800,1984 gru
103,65400,1985 sty
104,63500,1985 lut
105,63400,1985 mar
106,53500,1985 kwi
107,48000,1985 maj
108,44600,1985 cze
109,49500,1985 lip
110,46200,1985 sie
111,48600,1985 wrz
112,58800,1985 paź
113,60300,1985 lis
114,61500,1985 gru
115,67400,1986 sty
116,60400,1986 lut
117,56100,1986 mar
118,49200,1986 kwi
119,47400,1986 maj
120,44100,1986 cze
121,48300,1986 lip
122,43100,1986 sie
123,48500,1986 wrz
124,59400,1986 paź
125,60400,1986 lis
126,65500,1986 gru
127,61500,1987 sty
128,60100,1987 lut
129,63300,1987 mar
130,59600,1987 kwi
131,49200,1987 maj
132,47300,1987 cze
133,47700,1987 lip
134,46200,1987 sie
135,49400,1987 wrz
136,55800,1987 paź
137,59300,1987 lis
138,65400,1987 gru
139,64000,1988 sty
140,63800,1988 lut
141,70300,1988 mar
142,57200,1988 kwi
143,56900,1988 maj
144,50700,1988 cze
145,42000,1988 lip
146,57000,1988 sie
147,60100,1988 wrz
148,61200,1988 paź
149,73400,1988 lis
150,60600,1988 gru
151,64300,1989 sty
152,67000,1989 lut
153,69600,1989 mar
154,62000,1989 kwi
155,68900,1989 maj
156,63100,1989 cze
157,61700,1989 lip
158,73400,1989 sie
159,64300,1989 wrz
160,68400,1989 paź
161,73100,1989 lis
162,65900,1989 gru
163,70800,1990 sty
164,66600,1990 lut
165,63300,1990 mar
166,58500,1990 kwi
167,75800,1990 maj
168,57000,1990 cze
169,73800,1990 lip
170,73700,1990 sie
171,64700,1990 wrz
172,81400,1990 paź
173,84800,1990 lis
174,79800,1990 gru
175,83600,1991 sty
176,80100,1991 lut
177,74200,1991 mar
178,73600,1991 kwi
179,81100,1991 maj
180,63200,1991 cze
181,60200,1991 lip
182,50500,1991 sie
183,53800,1991 wrz
184,73000,1991 paź
185,65100,1991 lis
186,68900,1991 gru
187,86700,1992 sty
188,73700,1992 lut
189,76200,1992 mar
190,66400,1992 kwi
191,62600,1992 maj
192,61600,1992 cze
193,60800,1992 lip
194,54500,1992 sie
195,56800,1992 wrz
196,66000,1992 paź
197,66200,1992 lis
198,73100,1992 gru
199,64000,1993 sty
200,74000,1993 lut
201,75600,1993 mar
202,63000,1993 kwi
203,66900,1993 maj
204,57500,1993 cze
205,60200,1993 lip
206,54900,1993 sie
207,51600,1993 wrz
208,54600,1993 paź
209,68400,1993 lis
210,72200,1993 gru
211,65400,1994 sty
212,67700,1994 lut
213,84400,1994 mar
214,66800,1994 kwi
215,62900,1994 maj
216,62700,1994 cze
217,53600,1994 lip
218,54700,1994 sie
219,61100,1994 wrz
220,64100,1994 paź
221,76300,1994 lis
222,69800,1994 gru
223,62300,1995 sty
224,66300,1995 lut
225,66200,1995 mar
226,59800,1995 kwi
227,72400,1995 maj
228,76200,1995 cze
229,68700,1995 lip
230,69300,1995 sie
231,62700,1995 wrz
232,80100,1995 paź
233,84700,1995 lis
234,76900,1995 gru
235,88800,1996 sty
236,87700,1996 lut
237,86300,1996 mar
238,77800,1996 kwi
239,91400,1996 maj
240,72500,1996 cze
241,83100,1996 lip
242,67500,1996 sie
243,60900,1996 wrz
244,78900,1996 paź
245,72000,1996 lis
246,80600,1996 gru
247,89300,1997 sty
248,85200,1997 lut
249,66100,1997 mar
250,81800,1997 kwi
251,71000,1997 maj
252,62200,1997 cze
253,74400,1997 lip
254,67100,1997 sie
255,72000,1997 wrz
256,75300,1997 paź
257,72400,1997 lis
258,79100,1997 gru
259,88200,1998 sty
260,78300,1998 lut
261,82100,1998 mar
262,79500,1998 kwi
263,65400,1998 maj
264,67600,1998 cze
265,72400,1998 lip
266,56200,1998 sie
267,63500,1998 wrz
268,73900,1998 paź
269,73200,1998 lis
270,82500,1998 gru
271,80500,1999 sty
272,82300,1999 lut
273,75800,1999 mar
274,63800,1999 kwi
275,66200,1999 maj
276,61800,1999 cze
277,60500,1999 lip
278,55100,1999 sie
279,57900,1999 wrz
280,59100,1999 paź
281,65000,1999 lis
282,64900,1999 gru
283,59400,2000 sty
284,67000,2000 lut
285,66400,2000 mar
286,48500,2000 kwi
287,57300,2000 maj
288,48800,2000 cze
289,48100,2000 lip
290,53300,2000 sie
291,47500,2000 wrz
292,55300,2000 paź
293,58700,2000 lis
294,53800,2000 gru
295,60600,2001 sty
296,55700,2001 lut
297,54000,2001 mar
298,47300,2001 kwi
299,55200,2001 maj
300,42400,2001 cze
301,49800,2001 lip
302,42000,2001 sie
303,46700,2001 wrz
304,59300,2001 paź
305,61400,2001 lis
306,50000,2001 gru
307,60700,2002 sty
308,56900,2002 lut
309,53500,2002 mar
310,51600,2002 kwi
311,55000,2002 maj
312,43500,2002 cze
313,46400,2002 lip
314,44300,2002 sie
315,44500,2002 wrz
316,60600,2002 paź
317,58400,2002 lis
318,49300,2002 gru
319,55600,2003 sty
320,56200,2003 lut
321,60300,2003 mar
322,52000,2003 kwi
323,54900,2003 maj
324,47400,2003 cze
325,47100,2003 lip
326,43200,2003 sie
327,47100,2003 wrz
328,46200,2003 paź
329,50800,2003 lis
330,47800,2003 gru
331,56100,2004 sty
332,56000,2004 lut
333,58400,2004 mar
334,53800,2004 kwi
335,54900,2004 maj
336,52000,2004 cze
337,45100,2004 lip
338,43900,2004 sie
339,48200,2004 wrz
340,54000,2004 paź
341,56300,2004 lis
342,49100,2004 gru
343,52300,2005 sty
344,56200,2005 lut
345,52000,2005 mar
346,50500,2005 kwi
347,48100,2005 maj
348,44600,2005 cze
349,51800,2005 lip
350,36700,2005 sie
351,35600,2005 wrz
352,45400,2005 paź
353,53700,2005 lis
354,58500,2005 gru
355,53200,2006 sty
356,51500,2006 lut
357,53900,2006 mar
358,45600,2006 kwi
359,46600,2006 maj
360,45300,2006 cze
361,42800,2006 lip
362,46100,2006 sie
363,50100,2006 wrz
364,65500,2006 paź
365,61200,2006 lis
366,57200,2006 gru
367,61000,2007 sty
368,55600,2007 lut
369,60300,2007 mar
370,49900,2007 kwi
371,43600,2007 maj
372,41200,2007 cze
373,45100,2007 lip
374,35800,2007 sie
375,43500,2007 wrz
376,54200,2007 paź
377,62700,2007 lis
378,46300,2007 gru
379,49000,2008 sty
380,50600,2008 lut
381,50000,2008 mar
382,53800,2008 kwi
383,45600,2008 maj
384,40400,2008 cze
385,36000,2008 lip
386,38100,2008 sie
387,42900,2008 wrz
388,46500,2008 paź
389,44100,2008 lis
390,45300,2008 gru
391,45400,2009 sty
392,49300,2009 lut
393,44200,2009 mar
394,37200,2009 kwi
395,40300,2009 maj
396,35100,2009 cze
397,37600,2009 lip
398,32700,2009 sie
399,36000,2009 wrz
400,39300,2009 paź
401,47400,2009 lis
402,48000,2009 gru
403,39400,2010 sty
404,56300,2010 lut
405,57200,2010 mar
406,48700,2010 kwi
407,49100,2010 maj
408,41800,2010 cze
409,41200,2010 lip
410,43800,2010 sie
411,45200,2010 wrz
412,53300,2010 paź
413,56400,2010 lis
414,47000,2010 gru
415,50400,2011 sty
416,52700,2011 lut
417,47500,2011 mar
418,38300,2011 kwi
419,45300,2011 maj
420,41400,2011 cze
421,37600,2011 lip
422,40000,2011 sie
423,43700,2011 wrz
424,49700,2011 paź
425,63000,2011 lis
426,41900,2011 gru
427,42400,2012 sty
428,41600,2012 lut
429,43400,2012 mar
430,41100,2012 kwi
431,49200,2012 maj
