,Gas,Quarter
1,5,1956 Q1
2,6,1956 Q2
3,7,1956 Q3
4,6,1956 Q4
5,5,1957 Q1
6,7,1957 Q2
7,7,1957 Q3
8,6,1957 Q4
9,5,1958 Q1
10,7,1958 Q2
11,8,1958 Q3
12,6,1958 Q4
13,5,1959 Q1
14,7,1959 Q2
15,8,1959 Q3
16,6,1959 Q4
17,6,1960 Q1
18,8,1960 Q2
19,8,1960 Q3
20,7,1960 Q4
21,6,1961 Q1
22,7,1961 Q2
23,8,1961 Q3
24,6,1961 Q4
25,6,1962 Q1
26,8,1962 Q2
27,8,1962 Q3
28,7,1962 Q4
29,6,1963 Q1
30,8,1963 Q2
31,9,1963 Q3
32,7,1963 Q4
33,6,1964 Q1
34,8,1964 Q2
35,9,1964 Q3
36,7,1964 Q4
37,6,1965 Q1
38,8,1965 Q2
39,9,1965 Q3
40,7,1965 Q4
41,6,1966 Q1
42,8,1966 Q2
43,10,1966 Q3
44,7,1966 Q4
45,6,1967 Q1
46,9,1967 Q2
47,10,1967 Q3
48,7,1967 Q4
49,6,1968 Q1
50,9,1968 Q2
51,11,1968 Q3
52,8,1968 Q4
53,7,1969 Q1
54,10,1969 Q2
55,13,1969 Q3
56,11,1969 Q4
57,12,1970 Q1
58,18,1970 Q2
59,23,1970 Q3
60,20,1970 Q4
61,19,1971 Q1
62,23,1971 Q2
63,28,1971 Q3
64,24,1971 Q4
65,24,1972 Q1
66,34,1972 Q2
67,40,1972 Q3
68,35,1972 Q4
69,34,1973 Q1
70,41,1973 Q2
71,48,1973 Q3
72,39,1973 Q4
73,38,1974 Q1
74,48,1974 Q2
75,52,1974 Q3
76,43,1974 Q4
77,39,1975 Q1
78,49,1975 Q2
79,55,1975 Q3
80,47,1975 Q4
81,44,1976 Q1
82,58,1976 Q2
83,65,1976 Q3
84,54,1976 Q4
85,49,1977 Q1
86,64,1977 Q2
87,74,1977 Q3
88,58,1977 Q4
89,56,1978 Q1
90,71,1978 Q2
91,78,1978 Q3
92,65,1978 Q4
93,59,1979 Q1
94,74,1979 Q2
95,88,1979 Q3
96,71,1979 Q4
97,68,1980 Q1
98,91,1980 Q2
99,103,1980 Q3
100,83,1980 Q4
101,88,1981 Q1
102,110,1981 Q2
103,120,1981 Q3
104,101,1981 Q4
105,93,1982 Q1
106,116,1982 Q2
107,127,1982 Q3
108,98,1982 Q4
109,92,1983 Q1
110,118,1983 Q2
111,124,1983 Q3
112,104,1983 Q4
113,97,1984 Q1
114,116,1984 Q2
115,130,1984 Q3
116,111,1984 Q4
117,103,1985 Q1
118,120,1985 Q2
119,132,1985 Q3
120,107,1985 Q4
121,98,1986 Q1
122,127,1986 Q2
123,137,1986 Q3
124,112,1986 Q4
125,106,1987 Q1
126,130,1987 Q2
127,158,1987 Q3
128,123,1987 Q4
129,116,1988 Q1
130,137,1988 Q2
131,157,1988 Q3
132,125,1988 Q4
133,117,1989 Q1
134,149,1989 Q2
135,175,1989 Q3
136,139,1989 Q4
137,125,1990 Q1
138,152,1990 Q2
139,161,1990 Q3
140,123,1990 Q4
141,111,1991 Q1
142,141,1991 Q2
143,160,1991 Q3
144,125,1991 Q4
145,117,1992 Q1
146,151,1992 Q2
147,175,1992 Q3
148,129,1992 Q4
149,116,1993 Q1
150,149,1993 Q2
151,163,1993 Q3
152,138,1993 Q4
153,127,1994 Q1
154,159,1994 Q2
155,184,1994 Q3
156,147,1994 Q4
157,131,1995 Q1
158,167,1995 Q2
159,181,1995 Q3
160,145,1995 Q4
161,133,1996 Q1
162,162,1996 Q2
163,184,1996 Q3
164,146,1996 Q4
165,135,1997 Q1
166,171,1997 Q2
167,183,1997 Q3
168,151,1997 Q4
169,141,1998 Q1
170,174,1998 Q2
171,191,1998 Q3
172,157,1998 Q4
173,145,1999 Q1
174,182,1999 Q2
175,198,1999 Q3
176,165,1999 Q4
177,164,2000 Q1
178,199,2000 Q2
179,213,2000 Q3
180,173,2000 Q4
181,177,2001 Q1
182,205,2001 Q2
183,218,2001 Q3
184,185,2001 Q4
185,166,2002 Q1
186,204,2002 Q2
187,228,2002 Q3
188,186,2002 Q4
189,172,2003 Q1
190,204,2003 Q2
191,232,2003 Q3
192,188,2003 Q4
193,173,2004 Q1
194,215,2004 Q2
195,227,2004 Q3
196,190,2004 Q4
197,170,2005 Q1
198,206,2005 Q2
199,221,2005 Q3
200,180,2005 Q4
201,171,2006 Q1
202,224,2006 Q2
203,233,2006 Q3
204,192,2006 Q4
205,187,2007 Q1
206,234,2007 Q2
207,245,2007 Q3
208,205,2007 Q4
209,194,2008 Q1
210,229,2008 Q2
211,249,2008 Q3
212,203,2008 Q4
213,196,2009 Q1
214,238,2009 Q2
215,252,2009 Q3
216,210,2009 Q4
217,205,2010 Q1
218,236,2010 Q2
