,Month,Sales
1,1987 sty,1664.81
2,1987 lut,2397.53
3,1987 mar,2840.71
4,1987 kwi,3547.29
5,1987 maj,3752.96
6,1987 cze,3714.74
7,1987 lip,4349.61
8,1987 sie,3566.34
9,1987 wrz,5021.82
10,1987 paź,6423.48
11,1987 lis,7600.6
12,1987 gru,19756.21
13,1988 sty,2499.81
14,1988 lut,5198.24
15,1988 mar,7225.14
16,1988 kwi,4806.03
17,1988 maj,5900.88
18,1988 cze,4951.34
19,1988 lip,6179.12
20,1988 sie,4752.15
21,1988 wrz,5496.43
22,1988 paź,5835.1
23,1988 lis,12600.08
24,1988 gru,28541.72
25,1989 sty,4717.02
26,1989 lut,5702.63
27,1989 mar,9957.58
28,1989 kwi,5304.78
29,1989 maj,6492.43
30,1989 cze,6630.8
31,1989 lip,7349.62
32,1989 sie,8176.62
33,1989 wrz,8573.17
34,1989 paź,9690.5
35,1989 lis,15151.84
36,1989 gru,34061.01
37,1990 sty,5921.1
38,1990 lut,5814.58
39,1990 mar,12421.25
40,1990 kwi,6369.77
41,1990 maj,7609.12
42,1990 cze,7224.75
43,1990 lip,8121.22
44,1990 sie,7979.25
45,1990 wrz,8093.06
46,1990 paź,8476.7
47,1990 lis,17914.66
48,1990 gru,30114.41
49,1991 sty,4826.64
50,1991 lut,6470.23
51,1991 mar,9638.77
52,1991 kwi,8821.17
53,1991 maj,8722.37
54,1991 cze,10209.48
55,1991 lip,11276.55
56,1991 sie,12552.22
57,1991 wrz,11637.39
58,1991 paź,13606.89
59,1991 lis,21822.11
60,1991 gru,45060.69
61,1992 sty,7615.03
62,1992 lut,9849.69
63,1992 mar,14558.4
64,1992 kwi,11587.33
65,1992 maj,9332.56
66,1992 cze,13082.09
67,1992 lip,16732.78
68,1992 sie,19888.61
69,1992 wrz,23933.38
70,1992 paź,25391.35
71,1992 lis,36024.8
72,1992 gru,80721.71
73,1993 sty,10243.24
74,1993 lut,11266.88
75,1993 mar,21826.84
76,1993 kwi,17357.33
77,1993 maj,15997.79
78,1993 cze,18601.53
79,1993 lip,26155.15
80,1993 sie,28586.52
81,1993 wrz,30505.41
82,1993 paź,30821.33
83,1993 lis,46634.38
84,1993 gru,104660.67
