,Takings,Date
1,28.69907,1998 Q1
2,19.017513,1998 Q2
3,16.105563,1998 Q3
4,25.886178,1998 Q4
5,28.351295,1999 Q1
6,20.125435,1999 Q2
7,17.292387,1999 Q3
8,24.293393,1999 Q4
9,30.046385,2000 Q1
10,21.701735,2000 Q2
11,18.05158,2000 Q3
12,26.363916,2000 Q4
13,33.722305,2001 Q1
14,21.755442,2001 Q2
15,17.925615,2001 Q3
16,26.86208,2001 Q4
17,32.424395,2002 Q1
18,22.298423,2002 Q2
19,19.276394,2002 Q3
20,31.211383,2002 Q4
21,37.916057,2003 Q1
22,28.712324,2003 Q2
23,24.060809,2003 Q3
24,37.137508,2003 Q4
25,46.026361,2004 Q1
26,31.451553,2004 Q2
27,25.917468,2004 Q3
28,40.83466,2004 Q4
29,48.749395,2005 Q1
30,34.487889,2005 Q2
31,29.881835,2005 Q3
32,44.111712,2005 Q4
33,53.282426,2006 Q1
34,35.671778,2006 Q2
35,30.261895,2006 Q3
36,47.726312,2006 Q4
37,55.236373,2007 Q1
38,37.60625,2007 Q2
39,34.889723,2007 Q3
40,50.254396,2007 Q4
41,59.952073,2008 Q1
42,39.958007,2008 Q2
43,35.45075,2008 Q3
44,52.540182,2008 Q4
45,60.951093,2009 Q1
46,42.94415,2009 Q2
47,37.825654,2009 Q3
48,51.47122,2009 Q4
49,58.717123,2010 Q1
50,41.397494,2010 Q2
51,39.101532,2010 Q3
52,54.259274,2010 Q4
53,64.020791,2011 Q1
54,43.873722,2011 Q2
55,36.93898,2011 Q3
56,55.816048,2011 Q4
57,64.50311,2012 Q1
58,42.883665,2012 Q2
59,37.787631,2012 Q3
60,57.282484,2012 Q4
61,66.432639,2013 Q1
62,44.331181,2013 Q2
63,39.437653,2013 Q3
64,59.506282,2013 Q4
65,70.164765,2014 Q1
66,47.482605,2014 Q2
67,41.395278,2014 Q3
68,65.366674,2014 Q4
69,78.24405,2015 Q1
70,50.147127,2015 Q2
71,45.719491,2015 Q3
72,71.994287,2015 Q4
73,84.515236,2016 Q1
74,55.588922,2016 Q2
