,Sales,Month
1,1664.81,1987 sty
2,2397.53,1987 lut
3,2840.71,1987 mar
4,3547.29,1987 kwi
5,3752.96,1987 maj
6,3714.74,1987 cze
7,4349.61,1987 lip
8,3566.34,1987 sie
9,5021.82,1987 wrz
10,6423.48,1987 paź
11,7600.6,1987 lis
12,19756.21,1987 gru
13,2499.81,1988 sty
14,5198.24,1988 lut
15,7225.14,1988 mar
16,4806.03,1988 kwi
17,5900.88,1988 maj
18,4951.34,1988 cze
19,6179.12,1988 lip
20,4752.15,1988 sie
21,5496.43,1988 wrz
22,5835.1,1988 paź
23,12600.08,1988 lis
24,28541.72,1988 gru
25,4717.02,1989 sty
26,5702.63,1989 lut
27,9957.58,1989 mar
28,5304.78,1989 kwi
29,6492.43,1989 maj
30,6630.8,1989 cze
31,7349.62,1989 lip
32,8176.62,1989 sie
33,8573.17,1989 wrz
34,9690.5,1989 paź
35,15151.84,1989 lis
36,34061.01,1989 gru
37,5921.1,1990 sty
38,5814.58,1990 lut
39,12421.25,1990 mar
40,6369.77,1990 kwi
41,7609.12,1990 maj
42,7224.75,1990 cze
43,8121.22,1990 lip
44,7979.25,1990 sie
45,8093.06,1990 wrz
46,8476.7,1990 paź
47,17914.66,1990 lis
48,30114.41,1990 gru
49,4826.64,1991 sty
50,6470.23,1991 lut
51,9638.77,1991 mar
52,8821.17,1991 kwi
53,8722.37,1991 maj
54,10209.48,1991 cze
55,11276.55,1991 lip
56,12552.22,1991 sie
57,11637.39,1991 wrz
58,13606.89,1991 paź
59,21822.11,1991 lis
60,45060.69,1991 gru
61,7615.03,1992 sty
62,9849.69,1992 lut
63,14558.4,1992 mar
64,11587.33,1992 kwi
65,9332.56,1992 maj
66,13082.09,1992 cze
67,16732.78,1992 lip
68,19888.61,1992 sie
69,23933.38,1992 wrz
70,25391.35,1992 paź
71,36024.8,1992 lis
72,80721.71,1992 gru
73,10243.24,1993 sty
74,11266.88,1993 lut
75,21826.84,1993 mar
76,17357.33,1993 kwi
77,15997.79,1993 maj
78,18601.53,1993 cze
79,26155.15,1993 lip
80,28586.52,1993 sie
81,30505.41,1993 wrz
82,30821.33,1993 paź
83,46634.38,1993 lis
84,104660.67,1993 gru
