"","index","date","week","weekday","area","count","rabate","price","operator","driver","delivery_min","temperature","wine_ordered","wine_delivered","wrongpizza","quality"
"1",1,2014-03-01,9,6,"Camden",5,TRUE,65.655,"Rhonda","Taylor",20,53,0,0,FALSE,"medium"
"2",2,2014-03-01,9,6,"Westminster",2,FALSE,26.98,"Rhonda","Butcher",19.6,56.4,0,0,FALSE,"high"
"3",3,2014-03-01,9,6,"Westminster",3,FALSE,40.97,"Allanah","Butcher",17.8,36.5,0,0,FALSE,NA
"4",4,2014-03-01,9,6,"Brent",2,FALSE,25.98,"Allanah","Taylor",37.3,NA,0,0,FALSE,NA
"5",5,2014-03-01,9,6,"Brent",5,TRUE,57.555,"Rhonda","Carter",21.8,50,0,0,FALSE,"medium"
"6",6,2014-03-01,9,6,"Camden",1,FALSE,13.99,"Allanah","Taylor",48.7,27,0,0,FALSE,"low"
"7",7,2014-03-01,9,6,"Camden",4,TRUE,89.442,"Rhonda","Taylor",49.3,33.9,1,1,FALSE,"low"
"8",8,2014-03-01,9,6,"Brent",NA,NA,NA,"Allanah","Taylor",25.6,54.8,NA,NA,FALSE,"high"
"9",9,2014-03-01,9,6,"Westminster",3,FALSE,40.97,"Allanah","Taylor",26.4,48,0,0,FALSE,"high"
"10",10,2014-03-01,9,6,"Brent",6,TRUE,84.735,"Rhonda","Carter",24.3,54.4,1,1,FALSE,"medium"
"11",11,2014-03-01,9,6,"Westminster",3,FALSE,66.41,"Allanah","Miller",11.7,28.8,1,1,FALSE,"low"
"12",12,2014-03-01,9,6,"Brent",5,TRUE,62.955,"Rhonda","Carter",19.5,51.3,0,0,FALSE,"medium"
"13",13,2014-03-01,9,6,"Camden",4,TRUE,46.764,"Allanah","Taylor",32.7,24.05,0,0,FALSE,"low"
"14",14,2014-03-01,9,6,"Camden",1,FALSE,49.95,"Rhonda","Carter",38.8,35.7,1,1,FALSE,"low"
"15",15,2014-03-01,9,6,"Brent",6,TRUE,73.746,"Rhonda","Carter",23,53.6,0,0,FALSE,"medium"
"16",16,2014-03-01,9,6,"Westminster",5,TRUE,57.555,"Rhonda","Miller",30.8,51.3,0,0,FALSE,NA
"17",17,NA,NA,NA,"Brent",2,FALSE,26.98,"Allanah","Carter",27.7,51,0,0,FALSE,"high"
"18",18,2014-03-01,9,6,"Brent",2,FALSE,27.98,"Rhonda","Butcher",29.7,47.7,0,0,FALSE,"medium"
"19",19,2014-03-01,9,6,"Brent",3,FALSE,41.97,"Rhonda","Carter",9.1,52.8,0,0,FALSE,"medium"
"20",20,2014-03-01,9,6,"Westminster",1,FALSE,11.99,"Rhonda","Miller",37.3,20,0,0,FALSE,"low"
"21",21,2014-03-01,9,6,"Brent",4,TRUE,46.764,"Allanah","Butcher",21.2,52.4,0,0,FALSE,NA
"22",22,2014-03-01,9,6,"Brent",4,TRUE,52.164,"Rhonda","Butcher",10.6,55.1,0,0,FALSE,"medium"
"23",23,2014-03-01,9,6,"Westminster",3,FALSE,44.97,"Rhonda","Butcher",19.5,26.7,0,0,FALSE,"low"
"24",24,2014-03-01,9,6,"Camden",4,TRUE,51.264,"Rhonda","Taylor",31,49.8,0,0,FALSE,"medium"
"25",25,2014-03-01,9,6,"Westminster",3,FALSE,38.97,"Allanah","Miller",20.8,32.5,0,0,FALSE,"low"
"26",26,2014-03-01,9,6,"Brent",5,TRUE,58.455,"Allanah","Taylor",18,36.8,0,0,FALSE,"medium"
"27",27,2014-03-01,9,6,"Brent",5,TRUE,97.065,"Rhonda","Butcher",25.6,51,1,1,FALSE,"medium"
"28",28,2014-03-01,9,6,"Westminster",6,TRUE,75.546,"Allanah","Miller",11.8,54.4,0,0,FALSE,"high"
"29",29,2014-03-01,9,6,"Camden",5,TRUE,65.655,"Rhonda","Taylor",36.5,46.2,0,0,FALSE,"medium"
"30",30,2014-03-01,9,6,"Westminster",2,FALSE,30.98,"Rhonda","Butcher",17.4,56.4,0,0,FALSE,NA
"31",31,2014-03-01,9,6,"Camden",2,FALSE,26.98,"Allanah","Carter",23.5,35.7,0,0,FALSE,"medium"
"32",32,2014-03-01,9,6,"Westminster",4,TRUE,51.264,"Rhonda","Butcher",24.2,49.1,0,0,FALSE,"medium"
"33",33,2014-03-01,9,6,"Brent",5,TRUE,61.155,"Allanah","Carter",15,53.3,0,0,FALSE,NA
"34",34,2014-03-01,9,6,"Camden",3,FALSE,42.97,"Allanah","Carter",36.2,41.7,0,0,FALSE,NA
"35",35,2014-03-01,9,6,"Westminster",2,FALSE,25.98,"Rhonda","Taylor",25.9,47.6,0,0,FALSE,NA
"36",36,2014-03-01,9,6,"Westminster",5,TRUE,57.555,"Allanah","Butcher",32.4,30.3,0,0,FALSE,"low"
"37",37,2014-03-01,9,6,"Brent",3,FALSE,44.97,"Allanah","Butcher",15.4,37.8,0,0,FALSE,"medium"
"38",38,2014-03-01,9,6,"Brent",4,TRUE,48.564,"Rhonda","Taylor",30.6,23.55,0,0,FALSE,"low"
"39",39,2014-03-01,9,6,"Brent",3,FALSE,40.97,"Allanah","Taylor",27.9,49.9,0,0,FALSE,"high"
"40",40,2014-03-01,9,6,"Camden",4,TRUE,49.464,"Allanah","Taylor",23,50.7,0,0,FALSE,"high"
"41",41,2014-03-01,9,6,"Brent",2,FALSE,24.98,"Rhonda","Taylor",39.7,20.45,0,0,FALSE,"low"
"42",42,2014-03-01,9,6,"Westminster",6,TRUE,74.646,"Allanah","Miller",29.1,25.85,0,0,FALSE,"low"
"43",43,2014-03-01,9,6,"Camden",3,FALSE,38.97,"Rhonda","Taylor",34.4,43.8,0,0,FALSE,"medium"
"44",44,2014-03-02,9,7,"Camden",4,TRUE,92.466,"Rhonda","Farmer",9.5,54.2,1,0,FALSE,"medium"
"45",45,2014-03-02,9,7,"Camden",1,FALSE,56.43,"Allanah","Farmer",11.2,55.2,1,1,FALSE,"high"
"46",46,2014-03-02,9,7,"Westminster",4,TRUE,44.964,"Rhonda","Farmer",14.4,55.9,0,0,FALSE,"high"
"47",47,2014-03-02,9,7,"Brent",4,TRUE,78.957,"Allanah","Hunter",9.2,22.2,1,1,FALSE,"low"
"48",48,2014-03-02,9,7,"Brent",1,FALSE,13.99,"Allanah","Hunter",11.9,52.8,0,0,FALSE,"high"
"49",49,2014-03-02,9,7,"Brent",4,TRUE,89.154,"Allanah","Butcher",9.4,41,1,1,FALSE,"medium"
"50",50,2014-03-02,9,7,"Brent",3,FALSE,37.97,"Allanah","Taylor",21.4,33.2,0,0,FALSE,"low"
"51",51,2014-03-02,9,7,"Brent",2,FALSE,29.98,"Rhonda","Hunter",11.5,54.5,0,0,FALSE,"medium"
"52",52,2014-03-02,9,7,"Brent",3,FALSE,47.97,"Allanah","Hunter",15.7,54.4,0,0,FALSE,NA
"53",53,2014-03-02,9,7,"Camden",1,FALSE,13.99,"Allanah","Taylor",27.2,46,0,0,FALSE,NA
"54",54,2014-03-02,9,7,"Camden",3,FALSE,75.47,"Rhonda","Taylor",27.7,26.3,1,1,FALSE,"low"
"55",55,2014-03-02,9,7,"Camden",6,TRUE,74.646,"Rhonda","Farmer",23.7,51.1,0,0,FALSE,"medium"
"56",56,2014-03-02,9,7,"Camden",3,FALSE,36.97,"Rhonda","Farmer",18.2,26.35,0,0,FALSE,"low"
"57",57,2014-03-02,9,7,"Westminster",4,TRUE,49.464,"Allanah","Hunter",17.1,37.8,0,0,FALSE,"medium"
"58",58,2014-03-02,9,7,"Camden",1,FALSE,13.99,"Rhonda","Farmer",19.9,51.5,0,0,FALSE,NA
"59",59,2014-03-02,9,7,"Camden",3,FALSE,79.67,"Rhonda","Farmer",21.9,53.1,1,1,FALSE,NA
"60",60,2014-03-02,9,7,"Westminster",2,FALSE,63.78,"Rhonda","Farmer",15.5,54.5,1,1,FALSE,"medium"
"61",61,2014-03-02,9,7,"Camden",4,TRUE,54.864,"Allanah","Taylor",25.4,48.8,0,0,FALSE,"high"
"62",62,2014-03-02,9,7,"Camden",2,FALSE,25.98,"Rhonda","Taylor",25.6,50.3,0,0,FALSE,"medium"
"63",63,2014-03-02,9,7,"Brent",2,FALSE,28.98,"Allanah","Butcher",10.5,58.1,0,0,FALSE,NA
"64",64,2014-03-02,9,7,"Brent",4,TRUE,52.164,"Allanah","Butcher",9.9,54.3,0,0,FALSE,"high"
"65",65,2014-03-02,9,7,"Brent",5,TRUE,61.155,"Rhonda","Butcher",9.9,59.2,0,0,FALSE,NA
"66",66,2014-03-02,9,7,"Camden",5,TRUE,68.355,"Rhonda","Taylor",38.3,47,0,0,FALSE,NA
"67",67,2014-03-02,9,7,"Brent",2,FALSE,26.98,"Rhonda","Hunter",20.4,25.95,0,0,FALSE,NA
"68",68,2014-03-02,9,7,"Brent",4,TRUE,47.664,"Allanah","Hunter",15.4,52.6,0,0,FALSE,NA
"69",69,2014-03-02,9,7,"Camden",3,FALSE,74.8,"Rhonda","Farmer",10.5,28.8,1,1,FALSE,"low"
"70",70,2014-03-02,9,7,"Camden",3,FALSE,43.97,"Rhonda","Taylor",23.7,25.45,0,0,FALSE,"low"
"71",71,2014-03-02,9,7,"Camden",4,TRUE,56.664,"Allanah","Farmer",9,58.2,0,0,FALSE,"high"
"72",72,2014-03-02,9,7,"Camden",3,FALSE,40.97,"Allanah","Farmer",23.9,54.7,0,0,FALSE,NA
"73",73,2014-03-02,9,7,"Brent",6,TRUE,80.946,"Rhonda","Hunter",26.9,51.6,0,0,FALSE,"medium"
"74",74,2014-03-02,9,7,"Brent",3,FALSE,46.97,"Rhonda","Butcher",10.7,27.45,0,0,FALSE,"low"
"75",75,2014-03-02,9,7,"Camden",2,FALSE,30.98,"Rhonda","Taylor",22.3,27.2,0,0,FALSE,"low"
"76",76,2014-03-02,9,7,"Camden",2,FALSE,30.98,"Allanah","Taylor",22.5,49.9,0,0,FALSE,"high"
"77",77,2014-03-02,9,7,"Camden",6,TRUE,82.746,"Allanah","Taylor",37.1,47.4,0,0,FALSE,NA
"78",78,2014-03-02,9,7,"Westminster",5,TRUE,66.555,"Rhonda","Butcher",17.2,26.3,0,0,FALSE,"low"
"79",79,NA,NA,NA,"Camden",2,FALSE,28.98,"Allanah","Farmer",12.1,57.5,0,0,FALSE,"high"
"80",80,2014-03-02,9,7,"Brent",3,FALSE,45.97,"Allanah","Hunter",9.5,38.6,0,0,FALSE,"medium"
"81",81,2014-03-02,9,7,"Brent",2,FALSE,25.98,"Rhonda","Butcher",10.4,58.3,0,0,FALSE,NA
"82",82,2014-03-02,9,7,"Camden",3,FALSE,36.97,"Rhonda","Farmer",17.7,52.9,0,0,FALSE,"medium"
"83",83,2014-03-02,9,7,"Camden",2,FALSE,30.98,"Allanah","Taylor",40.3,33.7,0,0,FALSE,"low"
"84",84,2014-03-02,9,7,"Camden",6,TRUE,70.146,"Rhonda","Taylor",23.9,55.1,0,0,FALSE,"medium"
"85",85,2014-03-02,9,7,"Brent",1,FALSE,15.99,"Allanah","Butcher",9.6,39.9,0,0,FALSE,"medium"
"86",86,2014-03-02,9,7,"Westminster",4,TRUE,52.164,"Rhonda","Butcher",24.6,49.2,0,0,FALSE,"medium"
"87",87,2014-03-02,9,7,"Brent",5,TRUE,58.455,"Rhonda","Taylor",20.8,26.6,0,0,FALSE,"low"
"88",88,2014-03-02,9,7,"Brent",7,TRUE,93.537,"Rhonda","Hunter",15.7,53.3,0,0,FALSE,"medium"
"89",89,2014-03-02,9,7,"Brent",6,TRUE,79.146,"Allanah","Hunter",15.6,55.4,0,0,FALSE,"high"
